r_min,fstar_drop,fstar_eb,interval_ratio,cliff_protection_bytes,slope_manifest_bytes,total_protection_bytes,protection_pct_of_index,detect_ns_per_query_eb,detect_pct_of_search_eb,detect_ns_per_query_drop,detect_pct_of_search_drop
0.97,0.016166830777887116,0.01706380405201085,1.055962452508967,132,16000064,16000196,5.7027,111795.0723,7.744638108917844,3269525.3572,224.24083713626743
0.95,0.03867351244900829,0.041254913819171485,1.068173934859457,132,16000064,16000196,5.7027,111795.0723,7.744638108917844,3269525.3572,224.24083713626743
0.9,0.09255309888579379,0.10059030837004397,1.0916019629472484,132,16000064,16000196,5.7027,111795.0723,7.744638108917844,3269525.3572,224.24083713626743
0.85,0.1447815111420613,0.1593274596182085,1.1096863840066888,132,16000064,16000196,5.7027,111795.0723,7.744638108917844,3269525.3572,224.24083713626743
0.8,0.1970099233983287,0.21892363594033218,1.126106672474922,132,16000064,16000196,5.7027,111795.0723,7.744638108917844,3269525.3572,224.24083713626743
0.7,0.2983233594364464,0.3419841850564582,1.1813346315705169,132,16000064,16000196,5.7027,111795.0723,7.744638108917844,3269525.3572,224.24083713626743
0.6,0.3995441644154157,0.46504473417258413,1.2264528952068354,132,16000064,16000196,5.7027,111795.0723,7.744638108917844,3269525.3572,224.24083713626743
